geo,time,sg_gdp_p_cap_const_ppp2011_dollar
usa,1866,3884
usa,1867,4013
usa,1868,4066
usa,1869,4175
usa,1870,4058
usa,1871,4154
usa,1872,4218
usa,1873,4323
usa,1874,4196
usa,1875,4316
usa,1876,4269
usa,1877,4311
usa,1878,4396
usa,1879,4834
usa,1880,5292
usa,1881,5344
usa,1882,5549
usa,1883,5552
usa,1884,5521
usa,1885,5439
usa,1886,5479
usa,1887,5603
usa,1888,5461
usa,1889,5680
usa,1890,5646
usa,1891,5772
usa,1892,6207
usa,1893,5792
usa,1894,5519
usa,1895,6070
usa,1896,5837
usa,1897,6280
usa,1898,6299
usa,1899,6752
usa,1900,6819
usa,1901,7442
usa,1902,7372
usa,1903,7589
usa,1904,7355
usa,1905,7744
usa,1906,8474
usa,1907,8452
usa,1908,7612
usa,1909,8374
usa,1910,8287
usa,1911,8416
usa,1912,8666
usa,1913,8824
usa,1914,7981
usa,1915,8081
usa,1916,9061
usa,1917,8703
usa,1918,9375
usa,1919,9401
usa,1920,9181
usa,1921,8789
usa,1922,9135
usa,1923,10150
usa,1924,10249
usa,1925,10316
usa,1926,10828
usa,1927,10771
usa,1928,10746
usa,1929,11272
usa,1930,10139
usa,1931,9277
usa,1932,7991
usa,1933,7769
usa,1934,8308
usa,1935,8872
usa,1936,10058
usa,1937,10413
usa,1938,9911
usa,1939,10605
usa,1940,11320
usa,1941,13239
usa,1942,15702
usa,1943,18551
usa,1944,19847
usa,1945,18828
usa,1946,14777
usa,1947,14267
usa,1948,14544
usa,1949,14340
usa,1950,15319
usa,1951,16198
usa,1952,16508
usa,1953,16974
usa,1954,16558
usa,1955,17409
usa,1956,17428
usa,1957,17430
usa,1958,16961
usa,1959,17909
usa,1960,18059
usa,1961,18170
usa,1962,18966
usa,1963,19497
usa,1964,20338
usa,1965,21361
usa,1966,22495
usa,1967,22803
usa,1968,23647
usa,1969,24147
usa,1970,23908
usa,1971,24350
usa,1972,25374
usa,1973,26567
usa,1974,26258
usa,1975,25934
usa,1976,27041
usa,1977,27990
usa,1978,29281
usa,1979,29951
usa,1980,29619
usa,1981,30070
usa,1982,29230
usa,1983,30185
